"city","census_tract","ses_percentile","ses_score","pop_black","pop_female","pop_native_american","pop_non_citizen","pop_snap","pop_pacific_islander","avg_edu","median_income","median_rent","unemployed_percentage","percent_poverty_150"
"Pittsburgh",6037131010,54,0.467521812135623,-0.573037879345037,-0.218214398458968,1.71131051054482,0.985099347878288,0.405307343594415,0.0130229473140604,-0.228337679099203,-0.353576060903917,-0.0278315653748905,-0.516927503388244,0.0198186850023601
"Pittsburgh",6037131020,53,0.439048612393793,-0.342692482998072,0.180890760100034,-0.3489853921022,0.925985808623118,0.345787673084553,-0.440571859188895,-0.404203105214793,-0.538974372111236,-0.00161257073659189,-1.1708715453083,-0.294434955995305
"Pittsburgh",6037131100,37,-0.680351727477337,-0.636175093221288,-0.139335050684403,-0.284143661542252,-0.119223006429795,0.264081111628815,-0.547302736084111,0.0405060164098271,-0.404948207796169,1.33368337048533,-0.922564365066663,-0.290146664613435
"Pittsburgh",6037131200,31,-1.11246394835455,-0.237710508011934,-0.00874526680747618,0.227857634935909,-0.595904977241591,-0.271997517874571,-0.547302736084111,0.460984863592172,-0.0508024937791269,0.648243939226951,-1.30687355358376,-0.381877847498965
"Pittsburgh",6037131300,42,-0.422143156402957,-0.486783250247231,-0.439801458071015,-0.445604319836656,0.56218068186736,0.44066174834159,1.0439426004865,-0.177580347670805,-0.311211782489053,1.58089103421786,-0.477170718949666,-0.139978672798465
"Pittsburgh",6037131400,47,0.00553827528038459,-0.220642054482217,-0.187389360994702,-0.0979821155486898,0.645950359255802,-0.0562458443695527,-0.547302736084111,0.138173747893889,-0.220750945719169,-0.12334361727155,-0.299897921730674,-0.247013143603736
"Pittsburgh",6037131600,45,-0.0763137670611327,-0.70581794959756,0.263858885682265,0.394316598829071,0.380527948671778,0.0276119133318909,-0.224359810695924,-0.376719758745151,-0.0165180004227677,0.350471071549132,0.0694308374799985,-0.463303270112343
"Pittsburgh",6037131701,52,0.367403721670668,0.145206875408757,0.267213814106916,0.307124451653452,0.140114384704408,0.398746986706352,-0.0200227273397453,0.373039043958933,-0.0689820101607633,-0.215110098505595,1.11316777117191,0.0159215626100928
"Pittsburgh",6037131702,46,-0.0602517273624435,0.524748712160419,-0.0767716916596803,-0.0196647122647157,-0.458279576711837,0.304887227689943,0.82336240495944,-0.195253345603328,-0.174674333628775,-0.172036035885533,-0.0241767264114623,-0.40701534137144
"Pittsburgh",6037131800,54,0.457905010236267,-0.0567576721799443,0.105783482037577,-0.124081937742837,0.904088062041507,0.170835198266475,-0.547302736084111,-0.138066974474212,-0.410407522024889,-0.361187354347544,-0.460120873725705,-0.406518527767945
"Pittsburgh",6037131900,33,-0.931864840261159,-0.18825234100414,-0.5445082981358,-0.020509311789974,-0.259684506369475,-0.105751835586609,-0.547302736084111,0.164795586060623,0.316172608675406,1.43106820771329,0.653222659772524,-0.662270781173655
"Pittsburgh",6037132001,39,-0.541036585614522,0.165199726253959,-0.628637920699144,-0.586360612434569,-0.830209201544073,0.663802103547422,-0.547302736084111,0.788349701699358,-0.160862268630115,-0.572812096785239,-0.244142633934043,-0.72635747460133
"Pittsburgh",6037132002,36,-0.819251347422358,0.0702871748376021,-0.684599279761412,-0.149613944545044,-0.416806515539065,0.23340385357083,0.258334762990797,0.466307768326406,-0.136186168316302,0.899197173622095,-0.782542336413297,-0.372162359123942
"Pittsburgh",6037132101,36,-0.80195393700542,0.142112565215466,0.701606797222064,0.484331914041766,-0.456973535406714,-0.324133812676042,-0.547302736084111,0.406192645935103,-0.171125779380107,0.103263407816602,-0.600111903409581,-0.83199643706513
"Pittsburgh",6037132102,47,0.0374982203651674,-0.193922601047979,-0.631367572909843,-0.428940389002647,0.0340602233012729,0.381954669222601,-0.547302736084111,0.137528526704883,-0.33425008853425,0.000260214594715147,0.184535021967768,-0.371715808867132
"Pittsburgh",6037132300,59,0.74067551246635,-0.66028889383576,0.28012940581876,-0.0979582078745151,0.723226704974166,0.461358361184704,-0.547302736084111,-0.1670034406033,-0.296253261502361,-0.668324148681898,-1.05364054876162,0.344374645212573
"Pittsburgh",6037132501,55,0.560177348510877,-0.45433414817069,0.92775949315449,-0.450047669897264,0.687780977650976,-0.210257583254951,-0.287720263645897,-0.618095033812487,-0.326552455471755,-0.42673484094329,-0.539022752004763,-0.254832267942003
"Pittsburgh",6037132502,62,0.917982987677445,-0.307548164041592,0.366186881684886,-0.390350275968442,0.406796130298963,0.304092551868019,-0.547302736084111,0.0870143049936395,-0.739877135728118,0.0545709892026193,2.08616733848925,0.111991111223464
"Pittsburgh",6037132700,57,0.640940680602708,-0.715621581824347,-0.530082655204242,-0.499841858890685,0.850272271642881,0.735944306783028,0.0491850120918941,-0.19884322106356,-0.455446864411825,-0.617758944736608,-1.34485838649259,-0.210822509029309
"Pittsburgh",6037132900,30,-1.17508435443554,-0.537742736027793,0.328704077054524,-0.517111118114856,0.00763887620761914,-0.422880552111038,-0.547302736084111,0.5057565105059,0.276483394232614,0.947889592236078,-0.239165889689018,-0.528866641662628
"Pittsburgh",6037133000,45,-0.102616463458118,-0.476377705405486,-0.196943502752017,-0.569999382649242,0.128314330404957,0.0617553886727591,-0.547302736084111,-0.167704357644271,-0.000522209732619213,0.852377540339419,1.06058155704785,-0.198026491566911
"Pittsburgh",6037133100,45,-0.08326341542324,-0.362687327819775,-0.261269708510996,-0.338416705123078,0.54736360493417,-0.215229932595623,-0.547302736084111,0.179954268759492,-0.144757291655392,-0.303131009077025,-1.10981845482375,-0.301854647777809
"Pittsburgh",6037134001,71,1.37875063618221,-0.75516965229176,-0.92875055241213,-0.586360612434569,1.3790135816009,0.459496879429555,-0.547302736084111,-1.17886485739332,-0.34047370675499,-0.290021511757876,-0.908921437360485,0.193736796156528
"Pittsburgh",6037134002,61,0.887848343727576,-0.604720200638126,0.00139100271507556,0.0493281855450595,0.255678221469855,0.0438385479225975,-0.547302736084111,-0.600652485189991,-0.618734952992829,-0.475427259557273,-0.0361337996774661,0.0620790026577985
"Pittsburgh",6037134101,65,1.1266989623486,-0.262301719324658,-0.897263712817607,-0.0672797308690337,0.963402792140838,0.573548151291943,-0.547302736084111,-0.595100658092932,-0.328845367447817,-0.514755751514721,0.736142785627606,-0.0233397925679607
